DATE,AvgTemp
1964-01,328
1964-02,322
1964-03,477
1964-04,522
1964-05,531
1964-06,627
1964-07,661
1964-08,594
1964-09,519
1964-10,484
1964-11,575
1964-12,388
1965-01,435
1965-02,405
1965-03,549
1965-04,573
1965-05,651
1965-06,710
1965-07,746
1965-08,671
1965-09,566
1965-10,555
1965-11,619
1965-12,409
1966-01,428
1966-02,399
1966-03,552
1966-04,652
1966-05,711
1966-06,748
1966-07,842
1966-08,706
1966-09,678
1966-10,647
1966-11,684
1966-12,460
1967-01,449
1967-02,450
1967-03,589
1967-04,694
1967-05,782
1967-06,790
1967-07,903
1967-08,727
1967-09,709
1967-10,699
1967-11,662
1967-12,496
1968-01,485
1968-02,487
1968-03,561
1968-04,677
1968-05,773
1968-06,850
1968-07,873
1968-08,794
1968-09,736
1968-10,660
1968-11,668
1968-12,533
1969-01,486
1969-02,480
1969-03,686
1969-04,743
1969-05,843
1969-06,845
1969-07,911
1969-08,805
1969-09,733
1969-10,736
1969-11,713
1969-12,549
1970-01,564
1970-02,554
1970-03,733
1970-04,774
1970-05,934
1970-06,955
1970-07,1116
1970-08,935
1970-09,872
1970-10,857
1970-11,875
1970-12,640
1971-01,591
1971-02,603
1971-03,821
1971-04,848
1971-05,977
1971-06,1055
1971-07,1175
1971-08,972
1971-09,844
1971-10,934
1971-11,901
1971-12,653
1972-01,650
1972-02,685
1972-03,868
1972-04,996
1972-05,979
1972-06,1177
1972-07,1235
1972-08,1008
1972-09,964
